"","date","number_reported","cumulative_number"
"1",2020-03-04,0,0
"2",2020-03-05,0,0
"3",2020-03-06,0,0
"4",2020-03-07,0,0
"5",2020-03-08,0,0
"6",2020-03-09,0,0
"7",2020-03-10,0,0
"8",2020-03-11,0,0
"9",2020-03-12,0,0
"10",2020-03-13,0,0
"11",2020-03-14,0,0
"12",2020-03-15,0,0
"13",2020-03-16,0,0
"14",2020-03-17,0,0
"15",2020-03-18,1,1
"16",2020-03-19,0,1
"17",2020-03-20,2,3
"18",2020-03-21,0,3
"19",2020-03-22,2,5
"20",2020-03-23,4,9
"21",2020-03-24,1,10
"22",2020-03-25,2,12
"23",2020-03-26,2,14
"24",2020-03-27,2,16
"25",2020-03-28,5,21
"26",2020-03-29,3,24
"27",2020-03-30,3,27
"28",2020-03-31,5,32
"29",2020-04-01,7,39
"30",2020-04-02,12,51
"31",2020-04-03,12,63
"32",2020-04-04,10,73
"33",2020-04-05,12,85
"34",2020-04-06,7,92
"35",2020-04-07,9,101
"36",2020-04-08,10,111
"37",2020-04-09,21,132
"38",2020-04-10,11,143
"39",2020-04-11,17,160
"40",2020-04-12,12,172
"41",2020-04-13,6,178
"42",2020-04-14,11,189
"43",2020-04-15,18,207
"44",2020-04-16,24,231
"45",2020-04-17,9,240
"46",2020-04-18,8,248
"47",2020-04-19,10,258
"48",2020-04-20,19,277
"49",2020-04-21,20,297
"50",2020-04-22,14,311
"51",2020-04-23,17,328
"52",2020-04-24,29,357
"53",2020-04-25,14,371
"54",2020-04-26,21,392
"55",2020-04-27,14,406
"56",2020-04-28,13,419
"57",2020-04-29,15,434
"58",2020-04-30,14,448
"59",2020-05-01,14,462
"60",2020-05-02,13,475
"61",2020-05-03,14,489
"62",2020-05-04,9,498
"63",2020-05-05,23,521
"64",2020-05-06,16,537
"65",2020-05-07,25,562
"66",2020-05-08,17,579
"67",2020-05-09,14,593
"68",2020-05-10,9,602
"69",2020-05-11,8,610
"70",2020-05-12,9,619
"71",2020-05-13,17,636
"72",2020-05-14,10,646
"73",2020-05-15,12,658
"74",2020-05-16,9,667
"75",2020-05-17,3,670
"76",2020-05-18,10,680
"77",2020-05-19,12,692
"78",2020-05-20,8,700
"79",2020-05-21,6,706
"80",2020-05-22,6,712
"81",2020-05-23,6,718
"82",2020-05-24,2,720
"83",2020-05-25,5,725
"84",2020-05-26,6,731
"85",2020-05-27,2,733
"86",2020-05-28,1,734
"87",2020-05-29,1,735
"88",2020-05-30,0,735
"89",2020-05-31,4,739
